000D6F000C363309,00158D000103112A,pir,Basement Bedroom,5,20
000D6F000C363309,00158D0001051EE9,batt,,,
000D6F000C363309,00158D0001051EE9,pir,Basement Bathroom,4,20
000D6F000C363309,00158D00010AD2FE,pir,Stairs,20,20
000D6F000C363309,00158D00010F3699,batt,,,
000D6F000C363309,00158D00010F3699,pir,Entry,17,20
000D6F000C363309,00158D0001107B80,batt,,,
000D6F000C363309,00158D0001107B80,hum,Basement Bathroom,4,30
000D6F000C363309,00158D0001107B80,tmp,Basement Bathroom,4,40
000D6F000C363309,00158D0001116DB8,batt,,,
000D6F000C363309,00158D0001116DB8,sw,Kitchen,29,4
000D6F000C363309,00158D000117B1CE,batt,,,
000D6F000C363309,00158D000117B1CE,pir,Living Room,46,20
000D6F000C363309,00158D00011822E6,batt,,,
000D6F000C363309,00158D00011822E6,hum,Upstair Bathroom,4,30
000D6F000C363309,00158D00011822E6,tmp,Upstair Bathroom,4,40
000D6F000C363309,00158D00011851B2,batt,,,
000D6F000C363309,00158D00011851B2,sw,Front Door,87,3
000D6F000C361C53,000D6F000BBA90AF,pir,Iris back up motion sensor,46,20
000D6F000C361C53,000D6F000BBA90AF,sw,,,
000D6F000C361C53,00158D000101D9AB,batt,,,
000D6F000C361C53,00158D000101D9AB,hum,Bathroom,4,30
000D6F000C361C53,00158D000101D9AB,tmp,Bathroom,4,40
000D6F000C361C53,00158D00010AD2B9,batt,,,
000D6F000C361C53,00158D00010AD2B9,pir,Living Room,46,20
000D6F000C361C53,00158D00010DE3CB,sw,bed,5,1
000D6F000C361C53,00158D000113040A,sw,front door,87,3
000D6F000C361C53,00158D000117B52F,sw,Bathroom,4,6
000D6F000C361C53,00158D00018738BB,pir,,,
000D6F000C3627B1,000D6F000E3C0969,sw,20kg,,
000D6F000C3627B1,000D6F000E3C09B9,sw,5kg,,
000D6F000C3627B1,00158D000104260B,pir,,,
000D6F000C3627B1,00158D00015E8DE5,pir,,,
000D6F000C3627B1,00158D00018738BB,pir,,,
