000D6F000C362FB5,00124B0008EBB9AA,True,,,,2017-06-28 23:53:20.458+0000,,UT-15R3_00.00.03.08TC,FFFF,,
000D6F000C362FB5,00124B0008EE3ED1,True,,,2017-05-25 18:22:05.234+0000,2017-06-28 23:56:25.882+0000,,RM_00.00.03.03TC,,,
000D6F000C362FB5,00158D0000E7C56E,True,10,3.035,2017-05-03 19:14:09.017+0000,2017-06-29 00:02:40.619+0000,,lumi.sensor_motion,FFFF,,
000D6F000C362FB5,00158D0000F430BD,True,10,2.985,2017-05-03 19:12:49.844+0000,2017-06-28 23:46:51.056+0000,,lumi.sensor_motion,FFFF,,
000D6F000C362FB5,00158D00010AD2F0,True,11,3.035,2017-05-03 19:09:26.053+0000,2017-06-28 23:46:21.545+0000,,lumi.sensor_motion,FFFF,,
000D6F000C362FB5,00158D000113037E,True,10,3.045,2017-05-03 19:06:48.213+0000,2017-06-28 23:46:50.337+0000,,lumi.sensor_magnet,FFFF,,
000D6F000C362FB5,00158D0001561916,True,,3.015,2017-05-25 18:48:33.434+0000,2017-06-28 23:35:57.214+0000,,lumi.sensor_ht,,,
000D6F000C362FB5,00158D0001599CC2,True,11,3.035,2017-05-25 18:30:51.728+0000,2017-06-29 00:02:38.193+0000,,lumi.sensor_motion,,,
000D6F000C362FB5,00158D00015A9894,True,11,3.065,2017-05-25 18:18:08.000+0000,2017-06-28 23:41:56.802+0000,,lumi.sensor_motion,,,
000D6F000C362FB5,00158D00015A992B,True,11,3.065,2017-05-25 18:32:32.528+0000,2017-06-29 00:00:04.376+0000,,lumi.sensor_motion,,,
000D6F000C36546B,000D6F000BBE6134,True,,,2017-03-10 21:32:42.957+0000,2017-04-16 19:35:42.152+0000,,,AE93,-40,
000D6F000C36546B,00124B0005B4BCE9,True,,,,2017-04-01 04:19:38.258+0000,,,FFFF,,
000D6F000C36546B,00124B0008EBB349,True,,,,2017-03-31 15:32:05.752+0000,,,,,
000D6F000C36546B,00124B00092FB0BE,True,,,,2017-03-11 00:28:19.413+0000,,,,,
000D6F000C36546B,00158D0000E7C56E,True,10,3.025,2017-03-03 18:05:17.904+0000,2017-03-16 00:47:01.757+0000,,lumi.sensor_motion,FFFF,,
000D6F000C36546B,00158D00010AD2B9,True,11,3.045,2017-03-08 18:56:03.748+0000,2017-03-31 02:02:51.781+0000,,lumi.sensor_motion,FFFF,,
000D6F000C36546B,00158D00010E0412,True,,2.995,2017-03-03 18:23:14.365+0000,2017-04-11 18:29:00.531+0000,,lumi.sensor_ht,FFFF,,
000D6F000C36546B,00158D00010F3A09,,,,2017-02-17 22:06:04.000+0000,2017-02-17 23:25:36.000+0000,,,,,
