recare,0,Not in Used
recare,4,Bathroom
recare,5,Bedroom
recare,14,Dining Room
recare,17,Entry
recare,19,Main Floor
recare,20,Upstairs
recare,22,Basement
recare,25,Garage
recare,29,Kitchen
recare,30,Laundry Room
recare,37,Outside
recare,42,Stairway
recare,46,Living Room
recare,87,Front Door
recare,88,Back Door
recare,255,Unknown
