,gw_euid,mvt,ts,node_euid,place,sub_type
4521,000D6F000C362FB5,18,2017-06-10 23:37:01,00158D00015A992B,46,20
4520,000D6F000C362FB5,18,2017-06-11 00:02:36,00158D0000E7C56E,29,20
4519,000D6F000C362FB5,18,2017-06-11 00:06:04,00158D0001599CC2,46,20
4518,000D6F000C362FB5,18,2017-06-11 00:06:28,00158D0000E7C56E,29,20
4517,000D6F000C362FB5,18,2017-06-11 00:08:20,00158D00010AD2F0,17,20
4516,000D6F000C362FB5,18,2017-06-11 00:08:30,00158D0000E7C56E,29,20
4515,000D6F000C362FB5,18,2017-06-11 00:09:34,00158D0001599CC2,46,20
4514,000D6F000C362FB5,18,2017-06-11 00:20:23,00158D0000E7C56E,29,20
4513,000D6F000C362FB5,18,2017-06-11 00:21:20,00158D0001599CC2,46,20
4512,000D6F000C362FB5,18,2017-06-11 00:24:54,00158D0000E7C56E,29,20
4511,000D6F000C362FB5,18,2017-06-11 00:27:32,00158D0001599CC2,46,20
4510,000D6F000C362FB5,18,2017-06-11 00:27:55,00158D0000E7C56E,29,20
4509,000D6F000C362FB5,18,2017-06-11 00:30:13,00158D0001599CC2,46,20
4508,000D6F000C362FB5,18,2017-06-11 00:30:41,00158D0000E7C56E,29,20
4507,000D6F000C362FB5,18,2017-06-11 00:47:29,00158D0001599CC2,46,20
4506,000D6F000C362FB5,18,2017-06-11 00:47:48,00158D0000E7C56E,29,20
4505,000D6F000C362FB5,18,2017-06-11 00:53:44,00158D0001599CC2,46,20
4504,000D6F000C362FB5,18,2017-06-11 00:53:48,00158D0000E7C56E,29,20
4503,000D6F000C362FB5,18,2017-06-11 01:01:54,00158D0001599CC2,46,20
4502,000D6F000C362FB5,18,2017-06-11 01:48:29,00158D0000E7C56E,29,20
4501,000D6F000C362FB5,18,2017-06-11 01:54:36,00158D0001599CC2,46,20
4500,000D6F000C362FB5,18,2017-06-11 01:54:45,00158D0000E7C56E,29,20
4499,000D6F000C362FB5,18,2017-06-11 01:56:25,00158D0001599CC2,46,20
4498,000D6F000C362FB5,18,2017-06-11 01:56:57,00158D0000E7C56E,29,20
4497,000D6F000C362FB5,18,2017-06-11 01:58:14,00158D0001599CC2,46,20
4496,000D6F000C362FB5,18,2017-06-11 01:59:13,00158D0000E7C56E,29,20
4495,000D6F000C362FB5,18,2017-06-11 01:59:19,00158D0001599CC2,46,20
4494,000D6F000C362FB5,18,2017-06-11 02:01:41,00158D0000E7C56E,29,20
4493,000D6F000C362FB5,18,2017-06-11 02:01:50,00158D00010AD2F0,17,20
251,000D6F000C362FB5,5,2017-06-11 02:01:57,00158D000113037E,87,3
424,000D6F000C362FB5,6,2017-06-11 02:01:59,00158D000113037E,87,3
4492,000D6F000C362FB5,18,2017-06-11 02:02:51,00158D0000F430BD,5,20
4491,000D6F000C362FB5,18,2017-06-11 02:05:26,00158D00015A9894,4,20
4490,000D6F000C362FB5,18,2017-06-11 02:07:39,00158D0000F430BD,5,20
4489,000D6F000C362FB5,18,2017-06-11 02:08:33,00158D00015A9894,4,20
6559,000D6F000C362FB5,21,2017-06-11 02:09:10,00158D0001561916,4,30
6571,000D6F000C362FB5,22,2017-06-11 02:16:57,00158D0001561916,4,30
4488,000D6F000C362FB5,18,2017-06-11 02:28:23,00158D0000F430BD,5,20
4487,000D6F000C362FB5,18,2017-06-11 02:29:17,00158D00015A9894,4,20
4486,000D6F000C362FB5,18,2017-06-11 02:33:33,00158D0000F430BD,5,20
4485,000D6F000C362FB5,18,2017-06-11 02:34:05,00158D0000E7C56E,29,20
4484,000D6F000C362FB5,18,2017-06-11 02:34:56,00158D0001599CC2,46,20
4483,000D6F000C362FB5,18,2017-06-11 02:42:50,00158D0000E7C56E,29,20
4482,000D6F000C362FB5,18,2017-06-11 02:44:13,00158D0001599CC2,46,20
4481,000D6F000C362FB5,18,2017-06-11 03:02:53,00158D0000E7C56E,29,20
4480,000D6F000C362FB5,18,2017-06-11 03:06:16,00158D00010AD2F0,17,20
